['shall suffer hunger'],"` But we must provide for the winter or else we shall suffer hunger , ' said the Cat .",,
['wait till spot'],Just wait till I spot the places . '',,
['turret fetched magic'],"The prince ran up to the turret , fetched the magic spy-glass , and looked up London , Rome , and Hanover , as you would in a map .",,
['hanover trick bloodless'],"I just take my Seven-league Boots , run over to Rome , pick up Prince Charles , put him on the magic carpet , fly to London , clap the Cap of Darkness on him so that nobody can see him , set him down on the throne of his fathers ; pick up the Elector , carry him over to his beloved Hanover , and the trick is done -- what they call a bloodless revolution in the history books . ''",,
['english like prince'],`` But if the English do n't like Prince Charles when they get him ? '',,
['like young fellow'],"`` Like him ?they 're sure to like him , a young fellow like that !",,
['sword case accidents'],"Besides , I 'll take the sword with me in case of accidents . ''",,
['dick father rule'],"`` But , Dick , it is your father 's rule that you are never to meddle in the affairs of other countries , and never to start on an expedition when he is not at home . ''",,
['wo mind time'],"`` Oh , he wo n't mind this time !",,
['sure approve principle'],There 's no kind of danger ; and I 'm sure he will approve of the principle of the thing .,,
['electing characters come'],"Why , some electing characters might come here and kick us out ! ''",,
['father sort king'],"`` Your father is not the sort of king who is kicked out , '' said Jaqueline .",,
['use talking dick'],But there was no use in talking to Dick .,,
['preparations announced time'],"He made his simple preparations , and announced that he would be back in time for luncheon .",,
['intended changing fairy'],"She knew , as we saw , what King Prigio had intended about changing the fairy things for others that would not work .",,
['dick scrape help'],She was certain Dick would get himself into a scrape ; how was she to help him ?,,
['quickly dick putting'],"She made up her mind quickly , while Dick was putting his things together .",,
['going turn dick'],She told the queen -LRB- it was the nearest to the truth she could think of -RRB- that she `` was going for a turn with Dick . '',,
['fold dick coat'],Then she changed herself into a mosquito -- a kind of gnat that bites -- and hid herself under a fold of Dick 's coat .,,
['robinson rome grounds'],"Then he started off in his Seven - league Boots , and before you could say `` Jack Robinson '' he was in Rome , in the grounds of a splendid palace called the Villa Borghese .",,
['wig sound asleep'],"There he saw an elderly gentleman , in a great curled wig , sound asleep on a seat beneath a tree .",,
['long pale melancholy'],"The old gentleman had a long , pale , melancholy face , and across his breast was a broad blue ribbon with a star .",,
['changed king james'],"Ah !how changed was King James from the handsome Prince who had loved fair Beatrix Esmond , thirty years ago !",,
['near boys quite'],"Near him were two boys , not quite so old as Prince Ricardo .",,
['dark boy funny'],"The younger was a pretty dark boy , with a funny little roundabout white wig .",,
['pretty sword gold'],"He was splendidly dressed in a light-blue silk coat ; a delicate little lace scarf was tied round his neck ; he had lace ruffles falling about his little ringed hands ; he had a pretty sword , with a gold handle set with diamonds -- in fact , he was the picture of a little dandy .",,
['lad broad scotch'],"The other lad had a broad Scotch bonnet on , and no wig ; beautiful silky yellow locks fell about his shoulders .",,
['laid sword grass'],He had laid his sword on the grass .,,
['wearing shoes stockings'],"He was dressed in tartan , which Ricardo had never seen before ; and he wore a kilt , which was also new to Ricardo , who wondered at his bare legs -- for he was wearing shoes with no stockings .",,
['lead defended horn'],"In his hand he held a curious club , with a long , slim handle , and a head made heavy with lead , and defended with horn .",,
['ball suddenly swung'],"With this he was aiming at a little white ball ; and suddenly he swung up the club and sent the ball out of sight in the air , over several trees .",,
['addressing prince wales'],"Prince Ricardo stepped up to this boy , took off his cap , and said : `` I think I have the honour of addressing the Prince of Wales ? ''",,
['prince charles started'],"Prince Charles started at the sight of a gentleman in long riding-boots , girt with a broadsword , which was not then generally worn , and carrying a Persian rug under his arm .",,
['sir said title'],"`` That is what I am called , sir , '' he said , `` by those who give me the title which is mine by right .",,
['pleasure unexpected interview'],May I inquire the reason which offers me the pleasure of this unexpected interview ? '',,
['oh ricardo pantouflia'],"`` Oh , I 'm Ricardo of Pantouflia ! ''says Dick .",,
['morning believe wanted'],"`` I had a letter from you this morning , and I believe you wanted to see me . ''",,
['pantouflia sir said'],"`` From Pantouflia , sir , '' said Prince Charles ; `` why , that is hundreds of leagues away ! ''",,
['distance said dick'],"`` It is a good distance , '' said Dick ; `` but a mere step when you wear Seven - league Boots like mine . ''",,
['rapture kissing italian'],"`` My dear prince , '' said Charles , throwing himself into his arms with rapture , and kissing him in the Italian fashion , which Dick did not half like , `` you are , indeed , worthy of your reputation ; and these are the celebrated Seven-league Boots ?",,
['harry cried brother'],"Harry , '' he cried to his brother , `` come here at once and let me present you to his Royal Highness , our illustrious ally , Prince Ricardo of Pantouflia .",,
['york prince ricardo'],The Duke of York -- Prince Ricardo of Pantouflia .,,
['prince bowed stately'],The prince bowed in the most stately manner .,,
['said dick seldom'],"`` I say , '' said Dick , who was seldom at all up to the standard of royal conversation , `` what 's that game you were playing ?",,
['tremendous long shot'],You sent the ball a tremendous long shot . '',,
['called golf favourite'],"`` The game is called golf , and is the favourite pastime of my loyal Scottish subjects , '' said Prince Charles .",,
['amusements people soon'],"`` For that reason , that I may be able to share the amusements of my people , whom I soon hope to lead to a glorious victory , followed by a peaceful and prosperous reign , I am acquiring a difficult art .",,
['walking stockings harden'],"I 'm practising walking without stockings , too , to harden my feet , '' he said , in a more familiar tone of voice .",,
['length hardiest highlander'],"`` I fancy there are plenty of long marches before me , and I would not be a spear 's length behind the hardiest Highlander . ''",,
['respect said dick'],"I respect you , '' said Dick , with the greatest sincerity ; `` but I do n't think , with me on your side , you will need to make many marches .",,
